implementation,protocol,N,M,share_A_mean,share_A_std,total_mbps_mean
linux,bbr,16,1,0.5123557516533732,0.0014598087989281096,97.68500433333332
linux,bbr,16,16,0.500469070678161,0.0014880107612316091,97.77934633333335
linux,cubic,16,1,0.5200719916839359,0.003974466428126945,94.954972
linux,cubic,16,16,0.4999922956134138,0.00017215222092107087,95.79619066666667
linux,newreno,16,1,0.5471505480678976,0.0009456970607335336,96.49738066666667
linux,newreno,16,16,0.5002385164363562,0.001059311722627025,95.71423566666665
linux,udp,16,1,0.941174387734276,6.3042241150006734e-06,84.98872333333334
linux,udp,16,16,0.49999363131540014,1.7744495230813316e-05,95.98786966666665
stratum,bbr,16,1,0.7640744993105058,0.0006097525658739011,89.50944333333332
stratum,bbr,16,16,0.5011483222897651,0.0027519453205672637,89.80368666666665
stratum,cubic,16,1,0.7619453113175991,0.0,89.66132999999998
stratum,cubic,16,16,0.5089873246216499,0.0,90.7823
stratum,newreno,16,1,0.7531678974219429,0.0,87.61016000000001
stratum,newreno,16,16,0.5031885824806602,0.0,90.09803
stratum,udp,16,1,0.9399459370531761,0.0,97.61953999999999
stratum,udp,16,16,0.500009578285995,0.0,97.61663
